Unnamed: 0,ARTIST,SONG_NAME,SONG_LINK,LYRIC
6000,Sufjan Stevens,Vesuvius,https://songmeanings.com/songs/view/3530822107858845742/,
6001,Sufjan Stevens,Visions of Gideon,https://songmeanings.com/songs/view/3530822107859565938/,
6002,Sufjan Stevens,Vito's Ordination Song,https://songmeanings.com/songs/view/3530822107858510685/,
6003,Sufjan Stevens,Wallowa Lake Monster,https://songmeanings.com/songs/view/3530822107859561259/,
6004,Sufjan Stevens,Waste of What Your Kids Won't Have,https://songmeanings.com/songs/view/3530822107858695545/,
6005,Sufjan Stevens,We Are What You Say,https://songmeanings.com/songs/view/3530822107858558579/,
6006,Sufjan Stevens,We Need a Little Christmas,https://songmeanings.com/songs/view/3530822107859449726/,
6007,Sufjan Stevens,We Three Kings,https://songmeanings.com/songs/view/3530822107858686768/,
6008,Sufjan Stevens,We Wish You a Merry Christmas,https://songmeanings.com/songs/view/3530822107859449702/,
6009,Sufjan Stevens,We Won't Need Legs to Stand,https://songmeanings.com/songs/view/3530822107858507583/,
6010,Sufjan Stevens,We're Goin' to the Country,https://songmeanings.com/songs/view/3530822107858610020/,
6011,Sufjan Stevens,What Child Is This Anyway?,https://songmeanings.com/songs/view/3530822107858686769/,
6012,Sufjan Stevens,What Goes On (The Beatles cover),https://songmeanings.com/songs/view/3530822107858627161/,
6013,Sufjan Stevens,Where Were You,https://songmeanings.com/songs/view/3530822107859426853/,
6014,Sufjan Stevens,Which One Are You?,https://songmeanings.com/songs/view/3530822107859497432/,
6015,Sufjan Stevens,With My Whole Heart,https://songmeanings.com/songs/view/3530822107859594308/,
6016,Sufjan Stevens,Wolverine,https://songmeanings.com/songs/view/3530822107858537758/,
6017,Sufjan Stevens,Woman at the Well,https://songmeanings.com/songs/view/3530822107858627166/,
6018,Sufjan Stevens,Wordsworth's Ridge,https://songmeanings.com/songs/view/3530822107858558493/,
6019,Sufjan Stevens,Worried Shoes (Daniel Johnston cover),https://songmeanings.com/songs/view/3530822107858737890/,
6020,Sufjan Stevens,X-mas Spirit Catcher,https://songmeanings.com/songs/view/3530822107859445778/,
6021,Sufjan Stevens,Ya Leil,https://songmeanings.com/songs/view/3530822107858580398/,
6022,Sufjan Stevens,Year of Our Lord,https://songmeanings.com/songs/view/3530822107858580321/,
6023,Sufjan Stevens,Year of the Asthmatic Cat,https://songmeanings.com/songs/view/3530822107858580307/,
6024,Sufjan Stevens,Year of the Boar,https://songmeanings.com/songs/view/3530822107858580311/,
6025,Sufjan Stevens,Year of the Dog,https://songmeanings.com/songs/view/3530822107858580320/,
6026,Sufjan Stevens,Year of the Dragon,https://songmeanings.com/songs/view/3530822107858580318/,
6027,Sufjan Stevens,Year of the Horse,https://songmeanings.com/songs/view/3530822107858580252/,
6028,Sufjan Stevens,Year of the Monkey,https://songmeanings.com/songs/view/3530822107858580308/,
6029,Sufjan Stevens,Year of the Ox,https://songmeanings.com/songs/view/3530822107858580310/,
