Unnamed: 0,ARTIST,SONG_NAME,SONG_LINK,LYRIC
9000,U2,Your Blue Room,https://songmeanings.com/songs/view/3530822107858515249/,
9001,U2,Zoo Station,https://songmeanings.com/songs/view/10214/,
9002,U2,Zooropa,https://songmeanings.com/songs/view/4009/,
9003,The Mountain Goats,(Intro),https://songmeanings.com/songs/view/3530822107858695277/,
9004,The Mountain Goats,(Untitled),https://songmeanings.com/songs/view/3530822107859594849/,
9005,The Mountain Goats,02-75,https://songmeanings.com/songs/view/3530822107858584241/,
9006,The Mountain Goats,1 Corinthians 13:8-10,https://songmeanings.com/songs/view/3530822107858491075/,
9007,The Mountain Goats,1 John 4:16,https://songmeanings.com/songs/view/3530822107858748717/,
9008,The Mountain Goats,1 Samuel 15:23,https://songmeanings.com/songs/view/3530822107858795344/,
9009,The Mountain Goats,15-1,https://songmeanings.com/songs/view/3530822107858518273/,
9010,The Mountain Goats,15-2,https://songmeanings.com/songs/view/3530822107858596185/,
9011,The Mountain Goats,25,https://songmeanings.com/songs/view/3530822107858593197/,
9012,The Mountain Goats,Abandoned Flesh,https://songmeanings.com/songs/view/3530822107859547250/,
9013,The Mountain Goats,Abide with Me,https://songmeanings.com/songs/view/3530822107858596183/,
9014,The Mountain Goats,Absolute Lithops Effect,https://songmeanings.com/songs/view/3530822107858596184/,
9015,The Mountain Goats,Absolutely Cuckoo,https://songmeanings.com/songs/view/3530822107858808301/,
9016,The Mountain Goats,Acceptable Damges Sutra,https://songmeanings.com/songs/view/3530822107858716245/,
9017,The Mountain Goats,Adair,https://songmeanings.com/songs/view/3530822107858593268/,
9018,The Mountain Goats,Adultery,https://songmeanings.com/songs/view/3530822107858593470/,
9019,The Mountain Goats,Against Agamemnon,https://songmeanings.com/songs/view/3530822107858596186/,
9020,The Mountain Goats,Against Cotton,https://songmeanings.com/songs/view/3530822107858677291/,
9021,The Mountain Goats,Against Pollution,https://songmeanings.com/songs/view/3530822107858490880/,
9022,The Mountain Goats,Age of Kings,https://songmeanings.com/songs/view/3530822107858861895/,
9023,The Mountain Goats,Agemo's Hoops,https://songmeanings.com/songs/view/3530822107858596187/,
9024,The Mountain Goats,Alabama Nova,https://songmeanings.com/songs/view/3530822107858596188/,
9025,The Mountain Goats,Alagemo,https://songmeanings.com/songs/view/3530822107858511985/,
9026,The Mountain Goats,Alibi,https://songmeanings.com/songs/view/3530822107858609970/,
9027,The Mountain Goats,All Devils Here Now,https://songmeanings.com/songs/view/3530822107858818891/,
9028,The Mountain Goats,All Up the Seething Coast,https://songmeanings.com/songs/view/3530822107858490877/,
9029,The Mountain Goats,Almost Every Door,https://songmeanings.com/songs/view/3530822107859576090/,
9030,The Mountain Goats,Alpha Aquae,https://songmeanings.com/songs/view/3530822107858596181/,
9031,The Mountain Goats,Alpha Chum Gatherer,https://songmeanings.com/songs/view/3530822107859458970/,
9032,The Mountain Goats,Alpha Compunction,https://songmeanings.com/songs/view/3530822107858593194/,
9033,The Mountain Goats,Alpha Desperation March,https://songmeanings.com/songs/view/3530822107858593271/,
9034,The Mountain Goats,Alpha Double Negative: Going to Catalina,https://songmeanings.com/songs/view/3530822107858593269/,
9035,The Mountain Goats,Alpha Gelida,https://songmeanings.com/songs/view/3530822107858596182/,
9036,The Mountain Goats,Alpha in Tauris,https://songmeanings.com/songs/view/3530822107858596189/,
9037,The Mountain Goats,Alpha Incipiens,https://songmeanings.com/songs/view/3530822107858596179/,
9038,The Mountain Goats,Alpha Negative,https://songmeanings.com/songs/view/3530822107858686565/,
9039,The Mountain Goats,Alpha Omega,https://songmeanings.com/songs/view/3530822107858503348/,
9040,The Mountain Goats,Alpha Rats Nest,https://songmeanings.com/songs/view/3530822107858512147/,
9041,The Mountain Goats,Alpha Sun Hat,https://songmeanings.com/songs/view/3530822107858596180/,
9042,The Mountain Goats,Alphabetizing,https://songmeanings.com/songs/view/3530822107858511976/,
