Unnamed: 0,ARTIST,SONG_NAME,SONG_LINK,LYRIC
1000,Death Cab for Cutie,Fake Frowns,https://songmeanings.com/songs/view/50864/,"<div class=""holder lyric-box"">
						Bent at the knee, a last resort<br/>
Backfired and made things worse<br/>
Once on the bus, it was quite possible<br/>
You'd be the jailhouse queen<br/>
Jury and judge were screaming to hang<br/>
You spat the sweat from brow<br/>
He shrugged his shoulders, nothing would work<br/>
It had to end right now<br/>
<br/>
I can't drive straight counting your fake frowns<br/>
Focusing in, details a must<br/>
Trying to make each one count<br/>
All on your fingers stopping at ten<br/>
Magistrate's keyed in how<br/>
The jury and judge were screaming to hang<br/>
You spat the sweat from brow<br/>
He shrugged his shoulders, nothing would work<br/>
It had to end right now<br/>
<br/>
We can't keep your interest now<br/>
Increasing pixels and sound<br/><br/><br/> </div>"
1001,Death Cab for Cutie,Flustered/Hey Tomcat!,https://songmeanings.com/songs/view/3530822107858648046/,"<div class=""holder lyric-box"">
						Once when my folks were gone<br/>
I saw a lot of liquor<br/>
I saw my tomcat<br/>
Famose<br/>
I saw my tomcat<br/>
What?<br/>
Tomcat<br/>
What?<br/>
My tomcat<br/>
Tomcat<br/>
<br/>
I saw a bowl of milk<br/>
And I said <br/>
""Hey"" <br/>
What?<br/>
I got news for you<br/>
That's weird<br/>
I got news for you<br/>
I got news<br/>
<br/>
10, 5, 0 meters<br/>
I think it's, um . . .<br/>
I like the beat a lot<br/>
And I like the pool<br/>
And I can dance around the room<br/>
And I<br/>
<br/>
Tomcat<br/>
Hello, tomcat<br/>
News for you<br/>
What, tomcat?<br/>
News for you<br/>
What, tomcat?<br/>
As you're listening to heart sounds<br/>
And murmurs <br/>
Instead of using words to <br/>
Describe them<br/>
It's somewhat like eating an apple<br/>
And trying to describe how it tastes<br/>
<br/>
What <br/>
Tomcat<br/>
So what?<br/>
The LSD<br/>
What<br/>
I'm unsure<br/>
I got news for you<br/>
Some kind of LSD<br/>
Sure enough, I'll come<br/>
Tomcat<br/>
And I'm sure<br/>
The rumors<br/>
I got news for you<br/>
Hey, tomcat<br/>
And I'm sure the rumors<br/>
What, tomcat?<br/>
And I'm sure the box I<br/>
And I'm sure the box<br/>
Some kind of L word<br/>
One of the LS words<br/>
What the LS?<br/>
The L word<br/>
The LSD pill and the cat<br/>
What is going on, motherfucker?<br/>
No, no<br/>
Ba-ba-ba-ba-ba-ba-ba-ba<br/>
There's salt<br/>
Ba-ba-ba-ba-ba-ba-ba-ba<br/>
You're so flustered<br/>
Ba-ba-ba-ba-ba-ba-ba-ba<br/>
You're so flustered<br/>
I excel at stone<br/>
When given the exposed<br/>
I am Brian<br/><br/><br/> </div>"
1002,Death Cab for Cutie,For What Reason,https://songmeanings.com/songs/view/50872/,"<div class=""holder lyric-box"">
						This won't be the last from me, its just the start.<br/>
I hope that he keeps you up for weeks like you did to me.<br/>
<br/>
I will hold a candle up to you to singe your skin.<br/>
Brace yourself: I'm bent with bitterness. I can't foresee.<br/>
<br/>
When your apologies fail to ring true,<br/>
So slick with that sarcastic slew<br/>
Of phrases like ""I thought you knew""<br/>
While keeping me in hot pursuit.<br/>
<br/>
Tracing the plot finds<br/>
Skin touching skin.<br/>
Absence follows.<br/>
<br/>
In the end, I win every time as ink remains.<br/>
Sour tastes prevail as you play back the tape machine.<br/>
<br/>
When your apologies fail to ring true,<br/>
So slick with that sarcastic slew<br/>
Of phrases like ""I thought you knew""<br/>
While keeping me in such hot pursuit.<br/>
<br/>
Tracing the plot finds<br/>
Skin touching skin.<br/>
Absence follows.<br/><br/><br/> </div>"
1003,Death Cab for Cutie,Fortunate Son (CCR cover),https://songmeanings.com/songs/view/3530822107859444585/,"<div class=""holder lyric-box"">
						Some folks are born made to wave the flag<br/>
Oh, that red, white, and blue<br/>
And when they play ""Hail to the Chief""<br/>
Oh, they point the cannon at you, Lord<br/>
<br/>
It ain't me, it ain't me<br/>
I ain't no fortunate son<br/>
It ain't me, it ain't me<br/>
I ain't no fortunate one, no<br/>
<br/>
Some folks are born silver spoon in hand<br/>
Lord, don't they help themselves?<br/>
And when the tax man knocks on their door<br/>
Oh, the house looks like a rummage sale, yeah, yeah<br/>
<br/>
It ain't me, it ain't me<br/>
I ain't no fortunate son<br/>
It ain't me, it ain't me<br/>
I ain't no millionaire's son, no, no<br/>
<br/>
Some folks are born<br/>
Star-spangled eyes<br/>
Oh, they send you out to war<br/>
And when Australia asks:<br/>
""How much do we get?""<br/>
Oh, they just ask for more, and more, and more, and more, and more, and . . .<br/>
<br/>
It ain't me, it ain't me<br/>
I ain't no millionaires son, no<br/>
It ain't me, it ain't me<br/>
I ain't no fortunate one, one, one<br/>
It ain't me, it ain't me<br/>
I ain't no CIA son, no<br/>
It ain't me, it ain't me<br/>
I ain't no fortunate son, son, son<br/><br/><br/> </div>"
1004,Death Cab for Cutie,Gold Rush,https://songmeanings.com/songs/view/3530822107859573463/,"<div class=""holder lyric-box"">
						(Gold rush) digging for gold in my neighborhood<br/>
(Gold rush) where all the old buildings stood<br/>
(Gold rush) and they keep digging it down and down<br/>
(Gold rush) so that their cars can live underground<br/>
(Gold rush) the swinging of a wrecking ball<br/>
(Gold rush) through these lath and plaster walls<br/>
(Gold rush) is letting all the shadows free<br/>
(Gold rush) the ones I wish still followed me<br/>
<br/>
(Change) followed me, followed me<br/>
(Please don't change)<br/>
(Stay) followed me, followed me<br/>
(Stay the same)<br/>
<br/>
(Gold rush) I remember a winter's night<br/>
(Gold rush) we kissed beneath the street lamp light<br/>
(Gold rush) outside our bar near the record store<br/>
(Gold rush) that have been condos for a year and more<br/>
(Gold rush) now that our haunts have taken flight<br/>
(Gold rush) and been replaced with construction sites<br/>
(Gold rush) oh, how I feel like a stranger here<br/>
(Gold rush) searching for something that's disappeared<br/>
<br/>
(Gold rush) digging for gold in my neighborhood<br/>
(Gold rush) for what they say is the greater good<br/>
(Gold rush) but all I see is a long goodbye<br/>
(Gold rush) a requiem for a skyline<br/>
(Gold rush) it seems I never stopped losing you<br/>
(Gold rush) as every dive becomes something new<br/>
(Gold rush) and all our ghosts get swept away<br/>
(Gold rush) it didn't used to be this way<br/>
<br/>
(Change) be this way, be this way<br/>
(Please don't change)<br/>
(Stay) be this way, be this way<br/>
(Stay the same)<br/>
(Cranes) be this way, be this way<br/>
(Devour the light)<br/>
(Strange) be this way, be this way<br/>
(Appetite)<br/>
<br/>
I've ascribed these monuments<br/>
A false sense of permanence<br/>
I've placed faith in geography<br/>
To hold you in my memory<br/>
(Gold rush) I'm sifting through these wreckage piles<br/>
(Gold rush) through the rubble of bricks and wires<br/>
(Gold rush) looking for something I'll never find<br/>
(Gold rush) looking for something I'll never find<br/>
<br/>
(Gold rush) digging for gold in my neighborhood<br/>
(Gold rush) where all the old buildings stood<br/>
(Gold rush) and they keep digging it down and down<br/>
(Gold rush) so that their cars can live underground<br/>
(Gold rush) it seems I never stopped losing you<br/>
(Gold rush) as every dive becomes something new<br/>
(Gold rush) and all our ghosts get swept away<br/>
(Gold rush) it didn't used to be this way<br/>
<br/>
Change (gold rush) it didn't used to be this way<br/>
(Gold rush) it didn't used to be this way<br/>
Please don't change<br/>
(Gold rush) it didn't used to be this way<br/>
(Gold rush) it didn't used to be this way<br/>
Stay, stay the same <br/>
(Gold rush) it didn't used to be this way<br/>
(Gold rush) it didn't used to be this way (stay the same)<br/>
(Gold rush) it didn't used to be this way<br/>
(Gold rush) it didn't used to be this way<br/>
Change (gold rush)<br/>
(Gold rush)<br/>
Please don't change<br/>
(Gold rush)<br/>
(Gold rush)<br/>
Stay (gold rush)<br/>
(Gold rush)<br/>
Stay the same<br/><br/><br/> </div>"
1005,Death Cab for Cutie,Good Help (Is So Hard to Find),https://songmeanings.com/songs/view/3530822107859504103/,"<div class=""holder lyric-box"">
						You'll never have to hear the word ""no""<br/>
If you keep all your friends on the payroll<br/>
The non-disclosure pages signed<br/>
Your secret's safe between those lines<br/>
The scaffolding will cheer and console you<br/>
But remember what your mother told you<br/>
That good help is so hard to find<br/>
For people that are so refined<br/>
<br/>
You're trying to turn into the skid<br/>
In this never-ending grid<br/>
<br/>
There's a long, slow fade<br/>
To a darkened stage<br/>
And I hear you say<br/>
""Only a fool gives it away""<br/>
Only a fool would give<br/>
Only a fool gives it away<br/>
<br/>
You said you wanna stake out your claim<br/>
High above the city from where you came<br/>
Don't you know the air's so thin?<br/>
It starves the brain of oxygen<br/>
I know it's such a dangerous place<br/>
For there are more ascensions than there is space<br/>
Angels causing accidents<br/>
The camera phones'll document<br/>
But if I start to levitate<br/>
Pull me down with all your weight<br/>
<br/>
There's a long, slow fade<br/>
To a darkened stage<br/>
And I hear you say<br/>
""Only a fool gives it away""<br/>
Only a fool would give<br/>
Only a fool gives it away<br/>
<br/>
You're trying to turn into the skid<br/>
In this never-ending grid<br/>
But you should know it's not ideal<br/>
All those hands upon the wheel<br/>
<br/>
There's a long, slow fade<br/>
To a darkened stage<br/>
And I hear you say<br/>
""Only a fool gives it away""<br/>
There's a long, slow fade<br/>
To a darkened stage<br/>
And I hear you say<br/>
""Only a fool gives it away""<br/>
Only a fool would give<br/>
Only a fool would give<br/>
Only a fool would give<br/>
Only a fool gives this away<br/><br/><br/> </div>"
1006,Death Cab for Cutie,Grapevine Fires,https://songmeanings.com/songs/view/3530822107858717132/,"<div class=""holder lyric-box"">
						When the wind picked up<br/>
And the fire spread<br/>
And the grapevines seemed left for dead.<br/>
And the northern sky, looked like the end of day,<br/>
The end of days.<br/>
<br/>
The wake up call to a rented room<br/>
Sounded like an alarm of impending doom.<br/>
To warn us it's only a matter of time.<br/>
Before we all burn<br/>
Before we all burn<br/>
Before we all burn<br/>
Before we all burn.<br/>
<br/>
We bought some wine and some paper cups<br/>
Near your daughter's school when we picked her up<br/>
And drove to a cemetery on a hill,<br/>
On a hill.<br/>
<br/>
Watched the plumes paint the sky gray<br/>
As she laughed and danced through the field of graves<br/>
There I knew it would be alright<br/>
That everything would be alright,<br/>
Would be alright<br/>
Would be alright<br/>
Would be alright<br/>
Would be alright.<br/>
<br/>
And the news reports on the radio<br/>
Said it was getting worse<br/>
As the ocean air fanned the flames.<br/>
But I couldn't think of anywhere I would have rather been<br/>
To watch it all burn away,<br/>
To burn away.<br/>
<br/>
The firemen worked in double shifts,<br/>
With prayers for rain on their lips,<br/>
And they knew it was only a matter of time.<br/><br/><br/> </div>"
1007,Death Cab for Cutie,Gridlock Caravans,https://songmeanings.com/songs/view/39147/,"<div class=""holder lyric-box"">
						Starched white shirts, so neatly pressed by domestic muses<br/>
Feed delusions that everything is working out right<br/>
But your ribs can't withstand the increasing weight <br/>
As your heart gets heavier, and sooner or later <br/>
It falls to the tips of your toes<br/>
<br/>
And every day tastes like inhaling <br/>
When you just lit the wrong end (that plastic burning scent) <br/>
Your only friends are on the exit ramps of gridlock caravans<br/>
You try to ask how they've been<br/>
But the metal and glass is too thick<br/><br/><br/> </div>"
1008,Death Cab for Cutie,Here Comes the Rain Again (Eurythmics cover),https://songmeanings.com/songs/view/3530822107859513547/,"<div class=""holder lyric-box"">
						Here comes the rain again<br/>
Falling on my head like a memory<br/>
Here comes the rain again<br/>
Tearing me apart like a new emotion<br/>
I want to walk in the open winds<br/>
I want to talk like lovers do<br/>
I want to dive into your ocean<br/>
Is it raining with you?<br/>
<br/>
Baby, talk to me<br/>
Like lovers do<br/>
Walk with me<br/>
Like lovers do<br/>
Talk to me<br/>
Like lovers do<br/>
<br/>
Here comes the rain again<br/>
Falling on my head like a memory<br/>
Here comes the rain again<br/>
Tearing me apart like a new emotion<br/>
I want to breathe in the open winds<br/>
I want to talk like lovers do<br/>
I want to dive into your ocean<br/>
Is it raining with you?<br/>
<br/>
Baby, talk to me<br/>
Like lovers do<br/>
Walk with me<br/>
Like lovers do<br/>
Talk to me<br/>
Like lovers do<br/>
<br/>
(Sometimes I just need you to hold me)<br/>
<br/>
Baby, talk to me<br/>
Like lovers do<br/>
Walk with me<br/>
Like lovers do<br/>
Talk to me<br/>
Like lovers do<br/><br/><br/> </div>"
1009,Death Cab for Cutie,Hindsight,https://songmeanings.com/songs/view/3530822107858499827/,"<div class=""holder lyric-box"">
						Three wasted years, standing still <br/>
As you opened up, 18 miles wide <br/>
On this country drive <br/>
I can't keep up <br/>
Cause you're so far gone <br/>
And it's all too much hindsight <br/>
Three wasted years, wasting time <br/>
As the hunger pains grow inside <br/>
<br/>
I can't keep up <br/>
Cause you're so far gone <br/>
And it's all too much hindsight<br/><br/><br/> </div>"
