Unnamed: 0,ARTIST,SONG_NAME,SONG_LINK,LYRIC
8000,Deftones,Lovers,https://songmeanings.com/songs/view/3530822107858520714/,
8001,Deftones,Lucky You,https://songmeanings.com/songs/view/3530822107858485436/,
8002,Deftones,Mascara,https://songmeanings.com/songs/view/3693/,
8003,Deftones,Mein,https://songmeanings.com/songs/view/3530822107858631029/,
8004,Deftones,Minerva,https://songmeanings.com/songs/view/3530822107858485431/,
8005,Deftones,Minus Blindfold,https://songmeanings.com/songs/view/3682/,
8006,Deftones,Moana,https://songmeanings.com/songs/view/3530822107858485438/,
8007,Deftones,MX,https://songmeanings.com/songs/view/2042/,
8008,Deftones,My Own Summer (Shove It),https://songmeanings.com/songs/view/2043/,
8009,Deftones,Needles and Pins,https://songmeanings.com/songs/view/3530822107858485430/,
8010,Deftones,Never Let Me Down Again,https://songmeanings.com/songs/view/3530822107858605605/,
8011,Deftones,Night Boat (Duran Duran cover),https://songmeanings.com/songs/view/3530822107858547674/,
8012,Deftones,No Ordinary Love (Sade cover),https://songmeanings.com/songs/view/43863/,
8013,Deftones,Nosebleed,https://songmeanings.com/songs/view/3684/,
8014,Deftones,One Weak,https://songmeanings.com/songs/view/3683/,
8015,Deftones,Passenger,https://songmeanings.com/songs/view/3868/,
8016,Deftones,Phantom Bride,https://songmeanings.com/songs/view/3530822107859524251/,
8017,Deftones,Pink Cellphone,https://songmeanings.com/songs/view/3530822107858631798/,
8018,Deftones,Pink Maggit,https://songmeanings.com/songs/view/3869/,
8019,Deftones,Pittura Infamante,https://songmeanings.com/songs/view/3530822107859524507/,
8020,Deftones,Plastic,https://songmeanings.com/songs/view/3861/,
8021,Deftones,"Please, Please, Please Let Me Get What I Want (The Smiths cover)",https://songmeanings.com/songs/view/3707/,
8022,Deftones,Poltergeist,https://songmeanings.com/songs/view/3530822107859443745/,
8023,Deftones,Prayers/Triangles,https://songmeanings.com/songs/view/3530822107859520968/,
8024,Deftones,Prince,https://songmeanings.com/songs/view/3530822107858821662/,
8025,Deftones,Rapture,https://songmeanings.com/songs/view/3530822107858627827/,
8026,Deftones,Rats!Rats!Rats!,https://songmeanings.com/songs/view/3530822107858631796/,
8027,Deftones,Revenge of the Nerds,https://songmeanings.com/songs/view/3530822107858634994/,
8028,Deftones,Rickets,https://songmeanings.com/songs/view/62197/,
8029,Deftones,Right Brigade (Bad Brains cover),https://songmeanings.com/songs/view/3530822107859528805/,
8030,Deftones,Risk,https://songmeanings.com/songs/view/3530822107858821664/,
8031,Deftones,Riviere,https://songmeanings.com/songs/view/3530822107858631582/,
8032,Deftones,Rocket Skates,https://songmeanings.com/songs/view/3530822107858817601/,
8033,Deftones,Romantic Dreams,https://songmeanings.com/songs/view/3530822107859443746/,
8034,Deftones,Root,https://songmeanings.com/songs/view/3686/,
8035,Deftones,Roots,https://songmeanings.com/songs/view/3530822107858577993/,
8036,Deftones,Rosemary,https://songmeanings.com/songs/view/3530822107859443459/,
8037,Deftones,Royal,https://songmeanings.com/songs/view/3530822107858821658/,
8038,Deftones,Rubicon,https://songmeanings.com/songs/view/3530822107859524478/,
8039,Deftones,Rx Queen,https://songmeanings.com/songs/view/3870/,
8040,Deftones,Savory (Jawbox cover),https://songmeanings.com/songs/view/3706/,
8041,Deftones,Say It Ain't So (Weezer cover),https://songmeanings.com/songs/view/74197/,
8042,Deftones,Sextape,https://songmeanings.com/songs/view/3530822107858821663/,
8043,Deftones,Simple Man (Lynyrd Skynyrd cover),https://songmeanings.com/songs/view/3530822107858563495/,
8044,Deftones,Sinatra (Helmet cover),https://songmeanings.com/songs/view/3530822107858509646/,
8045,Deftones,Sleep Walk (Santo and Jonny cover),https://songmeanings.com/songs/view/3530822107858864236/,
8046,Deftones,Smile,https://songmeanings.com/songs/view/3530822107859480662/,
8047,Deftones,Some People,https://songmeanings.com/songs/view/3705/,
8048,Deftones,South of Heaven (Slayer cover),https://songmeanings.com/songs/view/3530822107859528806/,
8049,Deftones,Street Carp,https://songmeanings.com/songs/view/3871/,
8050,Deftones,Subliminal (Suicidal Tendencies cover),https://songmeanings.com/songs/view/3530822107858547673/,
8051,Deftones,Sweetest Perfection (Depeche Mode cover),https://songmeanings.com/songs/view/3530822107858485440/,
8052,Deftones,Swerve City,https://songmeanings.com/songs/view/3530822107859443747/,
8053,Deftones,Teclo,https://songmeanings.com/songs/view/3530822107859528807/,
8054,Deftones,Teenager,https://songmeanings.com/songs/view/34193/,
8055,Deftones,Teenager (Idiot version),https://songmeanings.com/songs/view/3530822107858757987/,
8056,Deftones,Teething,https://songmeanings.com/songs/view/145182/,
8057,Deftones,Tempest,https://songmeanings.com/songs/view/3530822107859441853/,
8058,Deftones,The Boy's Republic,https://songmeanings.com/songs/view/3865/,
8059,Deftones,The Chauffeur (Duran Duran cover),https://songmeanings.com/songs/view/3710/,
8060,Deftones,This Place Is Death,https://songmeanings.com/songs/view/3530822107858821666/,
8061,Deftones,To Have and to Hold (Depeche Mode cover),https://songmeanings.com/songs/view/3711/,
8062,Deftones,"U, U, D, D, L, R, L, R, A, B, Select, Start",https://songmeanings.com/songs/view/3530822107859286577/,
8063,Deftones,Venison,https://songmeanings.com/songs/view/3458764513820546463/,
8064,Deftones,Wax and Wane (Cocteau Twins cover),https://songmeanings.com/songs/view/3530822107858558454/,
8065,Deftones,What Happened to You?,https://songmeanings.com/songs/view/3530822107859443752/,
8066,Deftones,When Girls Telephone Boys,https://songmeanings.com/songs/view/3530822107858485434/,
8067,Deftones,Wicked,https://songmeanings.com/songs/view/116324/,
8068,Deftones,Xenon,https://songmeanings.com/songs/view/3530822107859524250/,
8069,Deftones,Xerces,https://songmeanings.com/songs/view/3530822107858632885/,
8070,Deftones,You've Seen the Butcher,https://songmeanings.com/songs/view/3530822107858821660/,
8071,Tegan and Sara,100x,https://songmeanings.com/songs/view/3530822107859527615/,
8072,Tegan and Sara,All I Have to Give the World Is Me,https://songmeanings.com/songs/view/3530822107859595708/,
8073,Tegan and Sara,All You Got,https://songmeanings.com/songs/view/46715/,
8074,Tegan and Sara,Alligator,https://songmeanings.com/songs/view/3530822107858799539/,
8075,Tegan and Sara,And Darling (This Thing That Breaks My Heart),https://songmeanings.com/songs/view/3458764513820548922/,
8076,Tegan and Sara,Are You Ten Years Ago,https://songmeanings.com/songs/view/3530822107858665792/,
8077,Tegan and Sara,Arrow,https://songmeanings.com/songs/view/3530822107858801254/,
8078,Tegan and Sara,Back in Your Head,https://songmeanings.com/songs/view/3530822107858665793/,
8079,Tegan and Sara,Beauty,https://songmeanings.com/songs/view/3530822107858510168/,
8080,Tegan and Sara,Body Work,https://songmeanings.com/songs/view/3530822107858865863/,
8081,Tegan and Sara,Boyfriend,https://songmeanings.com/songs/view/3530822107859524629/,
8082,Tegan and Sara,Buried Alive,https://songmeanings.com/songs/view/3458764513820548903/,
8083,Tegan and Sara,Burn Your Life Down,https://songmeanings.com/songs/view/3530822107858665796/,
8084,Tegan and Sara,BWU,https://songmeanings.com/songs/view/3530822107859527616/,
8085,Tegan and Sara,Bye!,https://songmeanings.com/songs/view/3530822107859594724/,
8086,Tegan and Sara,Call It Off,https://songmeanings.com/songs/view/3530822107858665801/,
8087,Tegan and Sara,Celebration,https://songmeanings.com/songs/view/3530822107858520001/,
8088,Tegan and Sara,City Girl,https://songmeanings.com/songs/view/3458764513820548919/,
8089,Tegan and Sara,Clever Meals,https://songmeanings.com/songs/view/46723/,
8090,Tegan and Sara,Clever Meals (Version 2),https://songmeanings.com/songs/view/3458764513820560965/,
8091,Tegan and Sara,Closer,https://songmeanings.com/songs/view/3530822107859440213/,
8092,Tegan and Sara,Come On,https://songmeanings.com/songs/view/70406/,
8093,Tegan and Sara,Come on Kids,https://songmeanings.com/songs/view/3458764513820548910/,
8094,Tegan and Sara,Dancing in the Dark (Bruce Springsteen cover),https://songmeanings.com/songs/view/3530822107858693590/,
8095,Tegan and Sara,Dark Come Soon,https://songmeanings.com/songs/view/3530822107858665800/,
8096,Tegan and Sara,Days & Days,https://songmeanings.com/songs/view/3530822107858749012/,
8097,Tegan and Sara,Divided,https://songmeanings.com/songs/view/46724/,
8098,Tegan and Sara,Don't Be Cruel,https://songmeanings.com/songs/view/3530822107858510169/,
8099,Tegan and Sara,Don't Believe the Things They Tell You (They Lie),https://songmeanings.com/songs/view/3530822107859595700/,
8100,Tegan and Sara,Don't Confess,https://songmeanings.com/songs/view/3458764513820548924/,
8101,Tegan and Sara,Don't Find Another Love,https://songmeanings.com/songs/view/3530822107859475906/,
8102,Tegan and Sara,Don't Go Looking,https://songmeanings.com/songs/view/3530822107858520004/,
8103,Tegan and Sara,Don't Rush,https://songmeanings.com/songs/view/3530822107858801246/,
8104,Tegan and Sara,Downtown,https://songmeanings.com/songs/view/3530822107858519995/,
8105,Tegan and Sara,Drove Me Wild,https://songmeanings.com/songs/view/3530822107859448462/,
8106,Tegan and Sara,Dying to Know,https://songmeanings.com/songs/view/3530822107859527612/,
8107,Tegan and Sara,Emaculation,https://songmeanings.com/songs/view/3530822107858520006/,
8108,Tegan and Sara,Empty in Between,https://songmeanings.com/songs/view/3530822107858482968/,
8109,Tegan and Sara,Everything Is Awesome,https://songmeanings.com/songs/view/3530822107859476431/,
8110,Tegan and Sara,Faint of Heart,https://songmeanings.com/songs/view/3530822107859527611/,
8111,Tegan and Sara,Falling Asleep,https://songmeanings.com/songs/view/3530822107858510170/,
8112,Tegan and Sara,Feel It in My Bones,https://songmeanings.com/songs/view/3530822107858792483/,
8113,Tegan and Sara,Fix You Up,https://songmeanings.com/songs/view/3530822107858519997/,
8114,Tegan and Sara,Floorplan,https://songmeanings.com/songs/view/3530822107858665798/,
8115,Tegan and Sara,Freedom,https://songmeanings.com/songs/view/70404/,
8116,Tegan and Sara,Frozen,https://songmeanings.com/songs/view/70400/,
8117,Tegan and Sara,Give Chase,https://songmeanings.com/songs/view/3530822107858742890/,
8118,Tegan and Sara,Goodbye,https://songmeanings.com/songs/view/3458764513820548905/,
8119,Tegan and Sara,"Goodbye, Goodbye",https://songmeanings.com/songs/view/3530822107859448461/,
8120,Tegan and Sara,Guilty as Charged,https://songmeanings.com/songs/view/3530822107859448466/,
8121,Tegan and Sara,Hang On to the Night,https://songmeanings.com/songs/view/3530822107859527617/,
8122,Tegan and Sara,Heavy,https://songmeanings.com/songs/view/123907/,
8123,Tegan and Sara,Hell,https://songmeanings.com/songs/view/3530822107858799323/,
8124,Tegan and Sara,Hello,https://songmeanings.com/songs/view/3458764513820548914/,
8125,Tegan and Sara,Hello Goodbye,https://songmeanings.com/songs/view/3530822107858589633/,
8126,Tegan and Sara,"Hello, I'm Right Here",https://songmeanings.com/songs/view/3530822107859595701/,
8127,Tegan and Sara,Here I Am,https://songmeanings.com/songs/view/3458764513820548912/,
8128,Tegan and Sara,"Hey, I'm Just Like You",https://songmeanings.com/songs/view/3530822107859595698/,
8129,Tegan and Sara,His Love,https://songmeanings.com/songs/view/3530822107858715586/,
8130,Tegan and Sara,Hold My Breath Until I Die,https://songmeanings.com/songs/view/3530822107859595697/,
8131,Tegan and Sara,Hop a Plane,https://songmeanings.com/songs/view/3530822107858665794/,
8132,Tegan and Sara,How Come You Don't Want Me,https://songmeanings.com/songs/view/3530822107859448463/,
8133,Tegan and Sara,Hype,https://songmeanings.com/songs/view/70401/,
8134,Tegan and Sara,I Bet It Stung,https://songmeanings.com/songs/view/3530822107858517620/,
8135,Tegan and Sara,I Can't Take It,https://songmeanings.com/songs/view/3530822107858514216/,
8136,Tegan and Sara,I Couldn't Be Your Friend,https://songmeanings.com/songs/view/3530822107859448464/,
8137,Tegan and Sara,I Don't Owe You Anything,https://songmeanings.com/songs/view/3530822107859595702/,
8138,Tegan and Sara,I Hear Noises,https://songmeanings.com/songs/view/142511/,
8139,Tegan and Sara,I Know I Know I Know,https://songmeanings.com/songs/view/3530822107858514172/,
8140,Tegan and Sara,I Know I'm Not the Only One,https://songmeanings.com/songs/view/3530822107859595703/,
8141,Tegan and Sara,I Run Empty,https://songmeanings.com/songs/view/3530822107859448467/,
8142,Tegan and Sara,I Take All the Blame,https://songmeanings.com/songs/view/3530822107858693541/,
8143,Tegan and Sara,I Was a Fool,https://songmeanings.com/songs/view/3530822107859448095/,
8144,Tegan and Sara,I Was Married,https://songmeanings.com/songs/view/3530822107858665787/,
8145,Tegan and Sara,I Won't Be Left,https://songmeanings.com/songs/view/3530822107858519998/,
8146,Tegan and Sara,I'll Be Back Someday,https://songmeanings.com/songs/view/3530822107859595699/,
8147,Tegan and Sara,I'm Not Your Hero,https://songmeanings.com/songs/view/3530822107859443008/,
8148,Tegan and Sara,In Your Room (The Bangles cover),https://songmeanings.com/songs/view/3530822107858520007/,
8149,Tegan and Sara,Infamous,https://songmeanings.com/songs/view/3458764513820548906/,
8150,Tegan and Sara,It Was Midnight,https://songmeanings.com/songs/view/3530822107858802459/,
8151,Tegan and Sara,Just Me,https://songmeanings.com/songs/view/3458764513820548911/,
8152,Tegan and Sara,Keep Them Close 'Cause They Will Fuck You Too,https://songmeanings.com/songs/view/3530822107859595705/,
8153,Tegan and Sara,Knife Going In,https://songmeanings.com/songs/view/3530822107858665791/,
8154,Tegan and Sara,Lately,https://songmeanings.com/songs/view/3530822107858510172/,
8155,Tegan and Sara,Left Me to Wonder,https://songmeanings.com/songs/view/3530822107858510173/,
8156,Tegan and Sara,Light Up,https://songmeanings.com/songs/view/3530822107858802372/,
8157,Tegan and Sara,"Like O, Like H",https://songmeanings.com/songs/view/3530822107858665799/,
8158,Tegan and Sara,Living Room,https://songmeanings.com/songs/view/142505/,
8159,Tegan and Sara,Love They Say,https://songmeanings.com/songs/view/3530822107859448465/,
8160,Tegan and Sara,Love Type Thing,https://songmeanings.com/songs/view/3530822107858513289/,
8161,Tegan and Sara,Miami Still,https://songmeanings.com/songs/view/3530822107859594723/,
8162,Tegan and Sara,Missing You,https://songmeanings.com/songs/view/3530822107858520212/,
8163,Tegan and Sara,Missing You (Version 2),https://songmeanings.com/songs/view/3530822107858734947/,
8164,Tegan and Sara,Monday Monday Monday,https://songmeanings.com/songs/view/3458764513820548918/,
8165,Tegan and Sara,More for Me,https://songmeanings.com/songs/view/46717/,
8166,Tegan and Sara,Morning Comes,https://songmeanings.com/songs/view/3530822107858510174/,
8167,Tegan and Sara,My Number,https://songmeanings.com/songs/view/70402/,
